CLASS : class
ID : HelloWorld
LEFT_CURLY_B : {
PUBLIC : public
STATIC : static
VOID : void
MAIN : main
LEFT_ROUND_B : (
STRING : String
LEFT_SQUARE_B : [
RIGHT_SQUARE_B : ]
ID : args
RIGHT_ROUND_B : )
LEFT_CURLY_B : {
IF : if
LEFT_ROUND_B : (
ID : y
EQUAL : ==
INTEGRAL_LITERAL : 3
RIGHT_ROUND_B : )
SYSTEM.OUT.PRINTLN : System.out.println
LEFT_ROUND_B : (
ID : x
PLUS : +
INTEGRAL_LITERAL : 2
RIGHT_ROUND_B : )
SEMICOLON : ;
IF : if
LEFT_ROUND_B : (
ID : y
LEFT_SQUARE_B : [
INTEGRAL_LITERAL : 1
RIGHT_SQUARE_B : ]
NOT_EQUAL : !=
INTEGRAL_LITERAL : 5
RIGHT_ROUND_B : )
ID : x
ASSIGNMENT : =
INTEGRAL_LITERAL : 5
SEMICOLON : ;
ELSE : else
ID : x
LEFT_SQUARE_B : [
INTEGRAL_LITERAL : 0
RIGHT_SQUARE_B : ]
ASSIGNMENT : =
INTEGRAL_LITERAL : 10
SEMICOLON : ;
RIGHT_CURLY_B : }
RIGHT_CURLY_B : }
EOF : eof
